# wavelength (nm),nmf_reduced,nmf_oxidized,nmf_semiquinone,pure_oxidized,pure_reduced
3.200000000000000000e+02,6.865346302246635446e-01,7.124614777839393190e-03,3.836568099188623210e-02,3.569999999999999840e-01,3.989999999999999658e-01
3.210000000000000000e+02,6.586591500309486591e-01,1.373078470144485468e-02,5.427119956204711632e-02,3.480000000000000315e-01,3.840000000000000080e-01
3.220000000000000000e+02,6.311511134959982838e-01,1.955297887055095635e-02,7.214965138925087673e-02,3.390000000000000235e-01,3.689999999999999947e-01
3.230000000000000000e+02,6.026376916598135125e-01,2.395495525885790733e-02,9.314330332512152366e-02,3.300000000000000155e-01,3.519999999999999796e-01
3.240000000000000000e+02,5.796830636378560442e-01,2.937542428648898946e-02,1.036658454175867355e-01,3.230000000000000093e-01,3.389999999999999680e-01
3.250000000000000000e+02,5.622970158836098076e-01,3.474641385101869678e-02,1.145578559522985040e-01,3.180000000000000049e-01,3.300000000000000155e-01
3.260000000000000000e+02,5.459948234974681958e-01,4.078033783552809100e-02,1.313139210556366898e-01,3.140000000000000013e-01,3.200000000000000067e-01
3.270000000000000000e+02,5.384088433858530420e-01,4.427046285414412002e-02,1.346198564654420560e-01,3.130000000000000004e-01,3.160000000000000031e-01
3.280000000000000000e+02,5.262009553445921028e-01,4.735000835746432796e-02,1.373345278990980856e-01,3.089999999999999969e-01,3.089999999999999969e-01
3.290000000000000000e+02,5.124669509875032780e-01,5.039824233290388783e-02,1.464453608696905940e-01,3.049999999999999933e-01,3.009999999999999898e-01
3.300000000000000000e+02,4.990076532902801287e-01,5.380099078402122981e-02,1.410354270392850662e-01,3.019999999999999907e-01,2.929999999999999827e-01
3.310000000000000000e+02,4.854052355617310965e-01,5.757096793917827054e-02,1.365511241391400288e-01,2.979999999999999871e-01,2.849999999999999756e-01
3.320000000000000000e+02,4.694117023465813054e-01,6.166512558684240919e-02,1.363834896810698083e-01,2.929999999999999827e-01,2.759999999999999676e-01
3.330000000000000000e+02,4.539175201567260398e-01,6.511942590600471037e-02,1.422712979455121596e-01,2.879999999999999782e-01,2.670000000000000151e-01
3.340000000000000000e+02,4.391778971472369286e-01,6.842477975252325706e-02,1.431218375353790484e-01,2.840000000000000302e-01,2.590000000000000080e-01
3.350000000000000000e+02,4.270700420614310655e-01,7.228507452951463130e-02,1.396954867131810774e-01,2.800000000000000266e-01,2.520000000000000018e-01
