7/1/2022 7:15 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.02667	
//WLCalib: 261S 	-0.20000	
//WLCalib: 362S 	-0.07000	
//WLCalib: 484S 	0.20000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.41000	
//QSpecEnd: 
190.0	0.559
190.5	0.553
191.0	0.554
191.5	0.540
192.0	0.533
192.5	0.538
193.0	0.565
193.5	0.551
194.0	0.547
194.5	0.524
195.0	0.523
195.5	0.493
196.0	0.439
196.5	0.418
197.0	0.398
197.5	0.379
198.0	0.372
198.5	0.348
199.0	0.346
199.5	0.351
200.0	0.357
200.5	0.322
201.0	0.307
201.5	0.337
202.0	0.370
202.5	0.413
203.0	0.501
203.5	0.581
204.0	0.655
204.5	0.746
205.0	0.822
205.5	0.878
206.0	0.954
206.5	1.035
207.0	1.107
207.5	1.185
208.0	1.262
208.5	1.300
209.0	1.351
209.5	1.402
210.0	1.443
210.5	1.487
211.0	1.528
211.5	1.570
212.0	1.611
212.5	1.648
213.0	1.682
213.5	1.713
214.0	1.741
214.5	1.766
215.0	1.790
215.5	1.814
216.0	1.837
216.5	1.860
217.0	1.881
217.5	1.900
218.0	1.918
218.5	1.936
219.0	1.953
219.5	1.970
220.0	1.986
220.5	2.003
221.0	2.021
221.5	2.038
222.0	2.056
222.5	2.073
223.0	2.091
223.5	2.112
224.0	2.136
224.5	2.164
225.0	2.198
225.5	2.240
226.0	2.295
226.5	2.366
227.0	2.450
227.5	2.539
228.0	2.624
228.5	2.697
229.0	2.753
229.5	2.786
230.0	2.795
230.5	2.782
231.0	2.757
231.5	2.727
232.0	2.696
232.5	2.669
233.0	2.646
233.5	2.629
234.0	2.620
234.5	2.617
235.0	2.614
235.5	2.608
236.0	2.599
236.5	2.587
237.0	2.573
237.5	2.558
238.0	2.542
238.5	2.529
239.0	2.521
239.5	2.522
240.0	2.534
240.5	2.560
241.0	2.598
241.5	2.641
242.0	2.682
242.5	2.711
243.0	2.723
243.5	2.716
244.0	2.691
244.5	2.667
245.0	2.657
245.5	2.671
246.0	2.704
246.5	2.751
247.0	2.798
247.5	2.835
248.0	2.849
248.5	2.836
249.0	2.797
249.5	2.748
250.0	2.704
250.5	2.672
251.0	2.656
251.5	2.653
252.0	2.658
252.5	2.662
253.0	2.658
253.5	2.642
254.0	2.622
254.5	2.576
255.0	2.537
255.5	2.510
256.0	2.498
256.5	2.498
257.0	2.509
257.5	2.529
258.0	2.563
258.5	2.610
259.0	2.660
259.5	2.697
260.0	2.729
260.5	2.743
261.0	2.732
261.5	2.698
262.0	2.646
262.5	2.586
263.0	2.528
263.5	2.481
264.0	2.444
264.5	2.420
265.0	2.409
265.5	2.412
266.0	2.418
266.5	2.428
267.0	2.441
267.5	2.453
268.0	2.462
268.5	2.465
269.0	2.462
269.5	2.467
270.0	2.487
270.5	2.523
271.0	2.556
271.5	2.592
272.0	2.624
272.5	2.646
273.0	2.654
273.5	2.646
274.0	2.629
274.5	2.617
275.0	2.616
275.5	2.626
276.0	2.630
276.5	2.645
277.0	2.655
277.5	2.649
278.0	2.642
278.5	2.634
279.0	2.629
279.5	2.631
280.0	2.641
280.5	2.657
281.0	2.679
281.5	2.714
282.0	2.727
282.5	2.730
283.0	2.730
283.5	2.724
284.0	2.714
284.5	2.702
285.0	2.695
285.5	2.695
286.0	2.701
286.5	2.704
287.0	2.698
287.5	2.685
288.0	2.669
288.5	2.647
289.0	2.632
289.5	2.629
290.0	2.630
290.5	2.638
291.0	2.655
291.5	2.684
292.0	2.671
292.5	2.635
293.0	2.572
293.5	2.487
294.0	2.380
294.5	2.250
295.0	2.108
295.5	1.966
296.0	1.841
296.5	1.723
297.0	1.589
297.5	1.478
298.0	1.378
298.5	1.292
299.0	1.206
299.5	1.130
300.0	1.061
300.5	0.994
301.0	0.932
301.5	0.876
302.0	0.824
302.5	0.775
303.0	0.729
303.5	0.687
304.0	0.647
304.5	0.610
305.0	0.576
305.5	0.543
306.0	0.514
306.5	0.487
307.0	0.461
307.5	0.439
308.0	0.418
308.5	0.400
309.0	0.384
309.5	0.370
310.0	0.356
310.5	0.344
311.0	0.333
311.5	0.324
312.0	0.315
312.5	0.307
313.0	0.300
313.5	0.294
314.0	0.288
314.5	0.282
315.0	0.276
315.5	0.271
316.0	0.266
316.5	0.261
317.0	0.257
317.5	0.253
318.0	0.249
318.5	0.246
319.0	0.242
319.5	0.239
320.0	0.237
320.5	0.234
321.0	0.231
321.5	0.229
322.0	0.227
322.5	0.226
323.0	0.224
323.5	0.223
324.0	0.221
324.5	0.220
325.0	0.219
325.5	0.217
326.0	0.216
326.5	0.215
327.0	0.214
327.5	0.213
328.0	0.212
328.5	0.211
329.0	0.210
329.5	0.209
330.0	0.210
330.5	0.209
331.0	0.209
331.5	0.209
332.0	0.209
332.5	0.209
333.0	0.209
333.5	0.209
334.0	0.209
334.5	0.209
335.0	0.209
335.5	0.210
336.0	0.210
336.5	0.210
337.0	0.211
337.5	0.212
338.0	0.212
338.5	0.213
339.0	0.213
339.5	0.214
340.0	0.215
340.5	0.215
341.0	0.216
341.5	0.216
342.0	0.217
342.5	0.217
343.0	0.218
343.5	0.218
344.0	0.219
344.5	0.221
345.0	0.222
345.5	0.223
346.0	0.223
346.5	0.224
347.0	0.224
347.5	0.225
348.0	0.225
348.5	0.226
349.0	0.226
349.5	0.228
350.0	0.228
350.5	0.230
351.0	0.230
351.5	0.231
352.0	0.232
352.5	0.232
353.0	0.233
353.5	0.233
354.0	0.234
354.5	0.234
355.0	0.235
355.5	0.236
356.0	0.236
356.5	0.237
357.0	0.238
357.5	0.238
358.0	0.239
358.5	0.239
359.0	0.239
359.5	0.239
360.0	0.240
360.5	0.240
361.0	0.240
361.5	0.241
362.0	0.242
362.5	0.242
363.0	0.243
363.5	0.243
364.0	0.242
364.5	0.242
365.0	0.241
365.5	0.240
366.0	0.240
366.5	0.239
367.0	0.239
367.5	0.239
368.0	0.238
368.5	0.238
369.0	0.237
369.5	0.236
370.0	0.236
370.5	0.235
371.0	0.235
371.5	0.234
372.0	0.233
372.5	0.233
373.0	0.232
373.5	0.231
374.0	0.230
374.5	0.230
375.0	0.228
375.5	0.228
376.0	0.227
376.5	0.227
377.0	0.226
377.5	0.225
378.0	0.224
378.5	0.222
379.0	0.221
379.5	0.220
380.0	0.218
380.5	0.217
381.0	0.215
381.5	0.214
382.0	0.212
382.5	0.211
383.0	0.210
383.5	0.208
384.0	0.207
384.5	0.206
385.0	0.205
385.5	0.203
386.0	0.201
386.5	0.200
387.0	0.199
387.5	0.197
388.0	0.195
388.5	0.194
389.0	0.192
389.5	0.190
390.0	0.189
390.5	0.187
391.0	0.186
391.5	0.184
392.0	0.183
392.5	0.181
393.0	0.180
393.5	0.178
394.0	0.176
394.5	0.174
395.0	0.172
395.5	0.171
396.0	0.169
396.5	0.167
397.0	0.165
397.5	0.163
398.0	0.162
398.5	0.160
399.0	0.159
399.5	0.158
400.0	0.156
400.5	0.155
401.0	0.154
401.5	0.153
402.0	0.151
402.5	0.150
403.0	0.149
403.5	0.148
404.0	0.146
404.5	0.145
405.0	0.144
405.5	0.143
406.0	0.142
406.5	0.140
407.0	0.139
407.5	0.138
408.0	0.137
408.5	0.136
409.0	0.135
409.5	0.134
410.0	0.133
410.5	0.132
411.0	0.131
411.5	0.130
412.0	0.129
412.5	0.128
