7/8/2000 7:16 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.04333	
//WLCalib: 261S 	-0.46000	
//WLCalib: 362S 	-0.29000	
//WLCalib: 484S 	-0.24000	
//WLCalib: 529S 	-0.30000	
//WLCalib: 823S 	-0.76000	
//QSpecEnd: 
190.0	0.221
190.5	0.228
191.0	0.235
191.5	0.238
192.0	0.247
192.5	0.256
193.0	0.272
193.5	0.263
194.0	0.252
194.5	0.241
195.0	0.222
195.5	0.213
196.0	0.184
196.5	0.170
197.0	0.163
197.5	0.166
198.0	0.183
198.5	0.156
199.0	0.161
199.5	0.146
200.0	0.112
200.5	0.113
201.0	0.101
201.5	0.107
202.0	0.130
202.5	0.146
203.0	0.142
203.5	0.154
204.0	0.163
204.5	0.142
205.0	0.135
205.5	0.179
206.0	0.156
206.5	0.167
207.0	0.187
207.5	0.205
208.0	0.221
208.5	0.201
209.0	0.177
209.5	0.141
210.0	0.153
210.5	0.137
211.0	0.110
211.5	0.145
212.0	0.217
212.5	0.290
213.0	0.351
213.5	0.373
214.0	0.439
214.5	0.505
215.0	0.581
215.5	0.640
216.0	0.711
216.5	0.796
217.0	0.894
217.5	0.963
218.0	1.032
218.5	1.106
219.0	1.178
219.5	1.268
220.0	1.331
220.5	1.395
221.0	1.445
221.5	1.502
222.0	1.561
222.5	1.620
223.0	1.682
223.5	1.747
224.0	1.820
224.5	1.902
225.0	1.951
225.5	2.019
226.0	2.097
226.5	2.189
227.0	2.291
227.5	2.392
228.0	2.483
228.5	2.556
229.0	2.605
229.5	2.628
230.0	2.623
230.5	2.595
231.0	2.557
231.5	2.517
232.0	2.485
232.5	2.452
233.0	2.420
233.5	2.394
234.0	2.377
234.5	2.368
235.0	2.359
235.5	2.344
236.0	2.328
236.5	2.312
237.0	2.301
237.5	2.281
238.0	2.263
238.5	2.252
239.0	2.252
239.5	2.264
240.0	2.288
240.5	2.326
241.0	2.380
241.5	2.436
242.0	2.477
242.5	2.498
243.0	2.503
243.5	2.500
244.0	2.482
244.5	2.453
245.0	2.436
245.5	2.450
246.0	2.494
246.5	2.550
247.0	2.593
247.5	2.632
