t_delay,reserv_number,run_number,laser_power_deg
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,19.0,0.00
dark,4.0,20.0,0.00
dark,4.0,20.0,0.00
dark,4.0,20.0,0.00
dark,4.0,20.0,0.00
dark,4.0,20.0,0.00
dark,4.0,20.0,0.00
dark,4.0,20.0,0.00
dark,4.0,20.0,0.00
dark,4.0,20.0,0.00
dark,5.0,21.0,0.00
dark,5.0,21.0,0.00
dark,5.0,21.0,0.00
dark,5.0,21.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,5.0,22.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
dark,6.0,23.0,0.00
